STATE,CHEATING,cluster_predict
andhra pradesh,13880.0,2.0
arunachal pradesh,123.0,0.0
assam,2348.0,1.0
bihar,5415.0,1.0
chhattisgarh,1422.0,0.0
goa,246.0,0.0
gujarat,499.0,0.0
haryana,2524.0,1.0
himachal pradesh,579.0,0.0
jammu & kashmir,721.0,0.0
jharkhand,1981.0,1.0
karnataka,9089.0,2.0
kerala,6095.0,1.0
madhya pradesh,2584.0,1.0
maharashtra,14434.0,2.0
manipur,159.0,0.0
meghalaya,254.0,0.0
mizoram,53.0,0.0
nagaland,50.0,0.0
odisha,2140.0,1.0
punjab,4379.0,1.0
rajasthan,30537.0,2.0
sikkim,32.0,0.0
tamil nadu,5342.0,1.0
tripura,225.0,0.0
uttar pradesh,17318.0,2.0
uttarakhand,833.0,0.0
west bengal,7705.0,1.0
andaman and nicobar,65.0,0.0
chandigarh,278.0,0.0
Dadra,17.0,0.0
daman & diu,4.0,0.0
lakshadweep,1.0,0.0
puducherry,121.0,0.0
