STATE,COUNTERFIETING,cluster_predict
andhra pradesh,404.0,1.0
arunachal pradesh,1.0,0.0
assam,95.0,0.0
bihar,28.0,0.0
chhattisgarh,120.0,0.0
goa,57.0,0.0
gujarat,401.0,1.0
haryana,16.0,0.0
himachal pradesh,6.0,0.0
jammu & kashmir,36.0,0.0
jharkhand,26.0,0.0
karnataka,119.0,0.0
kerala,93.0,0.0
madhya pradesh,17.0,0.0
maharashtra,538.0,2.0
manipur,5.0,0.0
meghalaya,19.0,0.0
mizoram,2.0,0.0
nagaland,6.0,0.0
odisha,37.0,0.0
punjab,75.0,0.0
rajasthan,17.0,0.0
sikkim,4.0,0.0
tamil nadu,710.0,2.0
tripura,18.0,0.0
uttar pradesh,519.0,2.0
uttarakhand,62.0,0.0
west bengal,399.0,1.0
andaman and nicobar,1.0,0.0
chandigarh,1.0,0.0
dadra,1.0,0.0
daman & diu,1.0,0.0
lakshadweep,1.0,0.0
puducherry,7.0,0.0
