STATE,DOWRY DEATHS,cluster_predict
andhra pradesh,720.0,1.0
arunachal pradesh,1.0,0.0
assam,250.0,0.0
bihar,1849.0,2.0
chhattisgarh,141.0,0.0
goa,1.0,0.0
gujarat,28.0,0.0
haryana,291.0,0.0
himachal pradesh,4.0,0.0
jammu & kashmir,8.0,0.0
jharkhand,342.0,0.0
karnataka,280.0,0.0
kerala,22.0,0.0
madhya pradesh,1031.0,1.0
maharashtra,412.0,1.0
manipur,1.0,0.0
meghalaya,2.0,0.0
mizoram,1.0,0.0
Nagaland,1.0,0.0
odisha,693.0,1.0
Punjab,106.0,0.0
rajasthan,597.0,1.0
sikkim,1.0,0.0
tamil nadu,71.0,0.0
tripura,47.0,0.0
uttar pradesh,2820.0,2.0
uttarakhand,90.0,0.0
west bengal,841.0,1.0
Andaman and Nicobar,2.0,0.0
chandigarh,5.0,0.0
Dadra,1.0,0.0
daman & diu,1.0,0.0
lakshadweep,1.0,0.0
puducherry,2.0,0.0
