STATE,RAPE,cluster_predict
andhra pradesh,1876.0,1.0
arunachal pradesh,64.0,0.0
assam,2645.0,2.0
bihar,911.0,0.0
chhattisgarh,1103.0,1.0
goa,69.0,0.0
gujarat,646.0,0.0
haryana,1096.0,1.0
himachal pradesh,227.0,0.0
jammu & kashmir,379.0,0.0
jharkhand,914.0,1.0
karnataka,973.0,1.0
kerala,1326.0,1.0
madhya pradesh,3793.0,2.0
maharashtra,2140.0,2.0
manipur,84.0,0.0
meghalaya,274.0,0.0
mizoram,138.0,0.0
nagaland,25.0,0.0
odisha,1787.0,1.0
punjab,890.0,1.0
rajasthan,2673.0,2.0
sikkim,44.0,0.0
tamil nadu,883.0,1.0
tripura,355.0,0.0
uttar pradesh,2367.0,2.0
uttarakhand,174.0,1.0
west bengal,4156.0,2.0
andaman and nicobar,31.0,0.0
chandigarh,39.0,0.0
dadra,3.0,0.0
daman & diu,3.0,0.0
lakshadweep,1.0,0.0
puducherry,9.0,0.0
